database,template_id,dimension,key,closed,open,wins,losses,net_pnl,net_pf,mean_margin_return_pct,median_holding_h,p90_holding_h
go_binance,59,symbol,SOPHUSDT,3,0,1,2,12.56732377,4.23123439,20.94553961,0.36666667,9.82422222
go_binance,59,symbol,BATUSDT,3,0,0,3,-5.95292168,0.00000000,-9.92153613,1.50055556,5.67966667
go_binance,59,symbol,INJUSDT,2,0,1,1,0.63195970,1.34876363,1.57989925,3.96694444,6.19494444
go_binance,59,symbol,LDOUSDT,3,0,1,2,-1.69667170,0.57638007,-2.82778617,1.62944444,3.51611111
go_binance,59,symbol,PENDLEUSDT,3,0,1,2,-2.95455570,0.22750879,-4.92425950,2.06805556,8.01783333
go_binance,59,symbol,PENGUUSDT,2,0,1,1,1.32916506,1.73463432,3.32291265,4.11305556,6.22261111
go_binance,59,symbol,SOONUSDT,2,0,1,1,2.56317760,2.38161794,6.40794400,6.86222222,8.95600000
go_binance,59,symbol,UNIUSDT,5,0,1,4,-2.58558050,0.68098168,-2.58558050,1.08277778,1.47372222
go_binance,59,symbol,CHZUSDT,4,0,1,3,-3.68499528,0.37757088,-4.60624410,7.20236111,10.82250000
go_binance,59,symbol,STXUSDT,3,0,0,3,-5.91927290,0.00000000,-9.86545483,2.22361111,2.72116667
go_binance,59,symbol,ERAUSDT,4,0,2,2,17.40678214,6.45339780,21.75847767,4.17791667,10.31483333
go_binance,59,symbol,STGUSDT,2,0,0,2,-3.80896500,0.00000000,-9.52241250,0.82180556,1.16058333
go_binance,59,symbol,SAGAUSDT,2,0,0,2,-3.85383118,0.00000000,-9.63457796,0.29986111,0.33841667
go_binance,59,symbol,1000FLOKIUSDT,4,0,0,4,-7.25816086,0.00000000,-9.07270108,0.97722222,3.16272222
go_binance,59,symbol,PYTHUSDT,2,0,0,2,-3.87947130,0.00000000,-9.69867825,0.76569444,0.99025000
go_binance,59,symbol,ONDOUSDT,4,0,0,4,-6.90864737,0.00000000,-8.63580921,0.88361111,4.65055556
go_binance,59,symbol,NOTUSDT,5,0,1,4,-4.86449989,0.31991631,-4.86449989,1.35222222,11.43350000
go_binance,59,symbol,AEROUSDT,2,0,1,1,-0.91376098,0.53750037,-2.28440244,1.66555556,2.88800000
go_binance,59,symbol,KOMAUSDT,4,0,1,3,-5.00585045,0.14638617,-6.25731306,1.06611111,3.98333333
go_binance,59,symbol,PAXGUSDT,4,0,1,3,-2.48362193,0.46149635,-3.10452741,13.57777778,21.20958333
go_binance,59,symbol,MONUSDT,3,0,1,2,-0.02647202,0.99307216,-0.04412003,2.70333333,2.96955556
go_binance,59,symbol,ZECUSDT,3,0,3,0,29.72578139,—,49.54296898,2.23666667,2.79422222
go_binance,59,symbol,ENSUSDT,4,0,2,2,2.82498855,1.73204635,3.53123569,2.30611111,2.41238889
go_binance,59,symbol,BULLAUSDT,3,0,0,3,-6.57358758,0.00000000,-10.95597930,0.34805556,11.88050000
