publish	base	symbol	pairs	code
2024-01-03 05:15:03	BNB	BNBUSDT	BNB/USDC	96e0b5370c9a49fbb5d66613b0d7ddf1
2024-01-03 05:15:03	SOL	SOLUSDT	SOL/ETH	96e0b5370c9a49fbb5d66613b0d7ddf1
2024-01-12 06:10:19	SOL	SOLUSDT	SOL/USDC	b03d6f33cd7e40a3bef774112306e645
2024-01-31 03:10:25	BCH	BCHUSDT	BCH/FDUSD	07d0c50b9bff4e92a8035d158aa94dd4
2024-01-31 03:10:25	DYDX	DYDXUSDT	DYDX/FDUSD	07d0c50b9bff4e92a8035d158aa94dd4
2024-01-31 03:10:25	ETC	ETCUSDT	ETC/FDUSD	07d0c50b9bff4e92a8035d158aa94dd4
2024-01-31 03:10:25	FIL	FILUSDT	FIL/FDUSD	07d0c50b9bff4e92a8035d158aa94dd4
2024-01-31 03:10:25	FTM	FTMUSDT	FTM/FDUSD	07d0c50b9bff4e92a8035d158aa94dd4
2024-01-31 03:10:25	LTC	LTCUSDT	LTC/FDUSD	07d0c50b9bff4e92a8035d158aa94dd4
2024-02-02 07:00:03	ATOM	ATOMUSDT	ATOM/FDUSD	5df2fbaa6747450b943dfa1361fbe19f
2024-02-02 07:00:03	BCH	BCHUSDT	BCH/FDUSD	5df2fbaa6747450b943dfa1361fbe19f
2024-02-02 07:00:03	CHZ	CHZUSDT	CHZ/FDUSD	5df2fbaa6747450b943dfa1361fbe19f
2024-02-02 07:00:03	DOT	DOTUSDT	DOT/USDC	5df2fbaa6747450b943dfa1361fbe19f
2024-02-02 07:00:03	DYDX	DYDXUSDT	DYDX/FDUSD	5df2fbaa6747450b943dfa1361fbe19f
2024-02-02 07:00:03	ETC	ETCUSDT	ETC/FDUSD	5df2fbaa6747450b943dfa1361fbe19f
2024-02-02 07:00:03	FIL	FILUSDT	FIL/FDUSD	5df2fbaa6747450b943dfa1361fbe19f
2024-02-02 07:00:03	FTM	FTMUSDT	FTM/FDUSD	5df2fbaa6747450b943dfa1361fbe19f
2024-02-02 07:00:03	GALA	GALAUSDT	GALA/FDUSD	5df2fbaa6747450b943dfa1361fbe19f
2024-02-02 07:00:03	LTC	LTCUSDT	LTC/FDUSD	5df2fbaa6747450b943dfa1361fbe19f
2024-02-22 03:10:18	ADA	ADAUSDT	ADA/USDC	32cce2a500ef4af5be01c8edf02977f3
2024-02-22 03:10:18	AVAX	AVAXUSDT	AVAX/USDC	32cce2a500ef4af5be01c8edf02977f3
2024-02-22 03:10:18	MATIC	MATICUSDT	MATIC/USDC	32cce2a500ef4af5be01c8edf02977f3
2024-02-22 03:10:18	XRP	XRPUSDT	XRP/USDC	32cce2a500ef4af5be01c8edf02977f3
2024-02-28 02:25:34	DOT	DOTUSDT	DOT/FDUSD	cc897d1544a341c2ae598f594dd9835c
2024-02-28 02:25:34	NEAR	NEARUSDT	NEAR/FDUSD	cc897d1544a341c2ae598f594dd9835c
2024-03-27 03:10:04	DOGE	DOGEUSDT	DOGE/USDC	6674719e209641bda688729852d35fb5
2024-03-27 03:10:04	LINK	LINKUSDT	LINK/USDC	6674719e209641bda688729852d35fb5
2024-04-10 03:57:06	LTC	LTCUSDT	LTC/USDC	f16274ce06dc4884a291751e040b337e
2024-04-10 03:57:06	NEAR	NEARUSDT	NEAR/USDC	f16274ce06dc4884a291751e040b337e
2024-04-18 03:00:18	BCH	BCHUSDT	BCH/USDC	faabbc275a5f4dd9b3182df915432fbb
2024-04-18 03:00:18	FIL	FILUSDT	FIL/USDC	faabbc275a5f4dd9b3182df915432fbb
2024-04-18 03:00:18	LTC	LTCUSDT	LTC/USDC	faabbc275a5f4dd9b3182df915432fbb
2024-04-18 03:00:18	NEAR	NEARUSDT	NEAR/USDC	faabbc275a5f4dd9b3182df915432fbb
2024-04-23 03:00:38	NEO	NEOUSDT	NEO/USDC	620f56a1c05840c6b2c5de54ea29443e
2024-06-18 03:00:07	PEOPLE	PEOPLEUSDT	PEOPLE/FDUSD	d9aba607bf2f4d41ac97d1c22ea41dea
2024-07-18 03:00:02	ATOM	ATOMUSDT	ATOM/USDC	8d1fb50cdcf04e5881c194e8113e002f
2024-07-18 03:00:02	ENS	ENSUSDT	ENS/USDC	8d1fb50cdcf04e5881c194e8113e002f
2024-07-18 03:00:02	FTM	FTMUSDT	FTM/USDC	8d1fb50cdcf04e5881c194e8113e002f
2024-07-18 03:00:02	ICP	ICPUSDT	ICP/USDC	8d1fb50cdcf04e5881c194e8113e002f
2024-07-24 04:00:07	AR	ARUSDT	AR/USDC	6c5b18de5a434337ab52d80d5fb6c03f
2024-07-24 04:00:07	GALA	GALAUSDT	GALA/USDC	6c5b18de5a434337ab52d80d5fb6c03f
2024-07-24 04:00:07	PEOPLE	PEOPLEUSDT	PEOPLE/USDC	6c5b18de5a434337ab52d80d5fb6c03f
2024-07-24 04:00:07	RUNE	RUNEUSDT	RUNE/USDC	6c5b18de5a434337ab52d80d5fb6c03f
2024-07-24 04:00:07	TRB	TRBUSDT	TRB/USDC	6c5b18de5a434337ab52d80d5fb6c03f
2024-07-24 04:00:07	UNI	UNIUSDT	UNI/USDC	6c5b18de5a434337ab52d80d5fb6c03f
2024-07-31 02:00:02	EOS	EOSUSDT	EOS/USDC	38d1ffe3bdc34e3fac7ce611bbd5d989
2024-08-30 02:00:02	ALGO	ALGOUSDT	ALGO/USDC	6d101ebc8ec44e079eff3708e5275ddf
2024-08-30 02:00:02	ONT	ONTUSDT	ONT/USDC	6d101ebc8ec44e079eff3708e5275ddf
2024-09-06 08:00:08	AAVE	AAVEUSDT	AAVE/USDC	834fdaa57a6846dc8e6ee87a61c6316a
2024-09-06 08:00:08	TRX	TRXUSDT	TRX/USDC	834fdaa57a6846dc8e6ee87a61c6316a
2024-11-25 02:30:21	HBAR	HBARUSDT	HBAR/USDC	cb5e509a881640938eaa1eca26b4b413
2024-11-25 02:30:21	RAY	RAYUSDT	RAY/USDC	cb5e509a881640938eaa1eca26b4b413
